,datadate,sentiment
290,20090226,-0.0408
291,20090227,0.24044
292,20090302,0.11377499999999999
293,20090303,-0.08020000000000001
294,20090304,0.0884
295,20090305,0.11261428571428571
296,20090306,0.30496666666666666
297,20090309,0.30436
298,20090310,0.29295
299,20090311,0.0
300,20090312,0.7096
301,20090313,0.7427
302,20090316,0.26686666666666664
303,20090317,0.4939
304,20090318,-0.24766666666666667
305,20090319,0.36405
306,20090320,0.06291428571428571
307,20090323,0.17020000000000002
308,20090324,0
309,20090325,0.34205
310,20090326,-0.5267
311,20090327,0.2936
312,20090330,0
313,20090331,0
314,20090401,0.2687333333333333
315,20090402,0.2457
316,20090403,-0.4019
317,20090406,0.5859
318,20090407,0.0
319,20090408,0
320,20090409,0.0
321,20090413,-0.06743333333333333
322,20090414,0.1591
323,20090415,0.1909
324,20090416,-0.4015
325,20090417,0.8945333333333334
326,20090420,0.10206666666666668
327,20090421,0.0
328,20090422,0.2159333333333333
329,20090423,-0.39225
330,20090424,0.17848000000000003
331,20090427,-0.010166666666666657
332,20090428,0.5703333333333334
333,20090429,0.0
334,20090430,0.0
335,20090501,0.06743333333333333
336,20090504,0.28683333333333333
337,20090505,0
338,20090506,0.12945
339,20090507,0.7701
340,20090508,0.38188000000000005
341,20090511,0.0
342,20090512,0.2936
343,20090513,0.0
344,20090514,-0.4648
345,20090515,-0.134
346,20090518,0.0
347,20090519,-0.4939
348,20090520,-0.0045200000000000014
349,20090521,0.17363333333333333
350,20090522,0.14365
351,20090526,0.077125
352,20090527,0.0
353,20090528,-0.26025
354,20090529,0.32236666666666663
355,20090601,-0.09866666666666667
356,20090602,0.1882142857142857
357,20090603,-0.3034
358,20090604,0.17776666666666666
359,20090605,0
360,20090608,-0.03653333333333333
361,20090609,0.3752
362,20090610,0.233275
363,20090611,0.020033333333333347
364,20090612,0.0
365,20090615,0.0
366,20090616,0.0
367,20090617,-0.2263
368,20090618,0.0
369,20090619,0.6369
370,20090622,0.026750000000000003
371,20090623,-0.3818
372,20090624,0.031233333333333325
373,20090625,0.18753333333333333
374,20090626,-0.17
375,20090629,-0.4939
376,20090630,-0.26485000000000003
377,20090701,0.22513999999999998
378,20090702,-0.009758333333333341
379,20090706,0.14701999999999998
380,20090707,-0.2057
381,20090708,0.0
382,20090709,0
383,20090710,0.30311666666666665
384,20090713,-0.4404
385,20090714,0
386,20090715,0.34
387,20090716,0.19583333333333333
388,20090717,0.03204285714285714
389,20090720,-0.4939
390,20090721,0.0
391,20090722,0.120325
392,20090723,0.2734375
393,20090724,-0.3205
394,20090727,0
395,20090728,0.0
396,20090729,0.13023333333333334
397,20090730,0.0
398,20090731,0.0086
399,20090803,0.0
400,20090804,-0.47545000000000004
401,20090805,0.0
402,20090806,0.0
403,20090807,-0.5764
404,20090810,0.296
405,20090811,0.26796666666666663
406,20090812,0.0
407,20090813,0.2784166666666667
408,20090814,-0.131675
409,20090817,0.1254111111111111
410,20090818,0.3607
411,20090819,0.1686
412,20090820,0
413,20090821,0.0
414,20090824,-0.0395
415,20090825,-0.6377499999999999
416,20090826,0.1101
417,20090827,0.0
418,20090828,-0.07636
419,20090831,-0.3225
420,20090901,0
421,20090902,0.17238
422,20090903,0.49275
423,20090904,0.15783333333333333
424,20090908,0.15191
425,20090909,0.43979999999999997
426,20090910,0.03423333333333333
427,20090911,0.3182
428,20090914,-0.0843
429,20090915,-0.4404
430,20090916,0
431,20090917,0.006140000000000001
432,20090918,0.07724285714285714
433,20090921,0.0
434,20090922,0.0
435,20090923,0
436,20090924,0.5106
437,20090925,0.0734
438,20090928,0.296
439,20090929,-0.023533333333333333
440,20090930,0.4767
441,20091001,0
442,20091002,0.0
443,20091005,-0.08399999999999999
444,20091006,0.0
445,20091007,0.06436249999999999
446,20091008,0.021280000000000004
447,20091009,0.30493333333333333
448,20091012,0.0
449,20091013,-0.055749999999999994
450,20091014,0.2086
451,20091015,0.4019
452,20091016,0.0
453,20091019,0.085075
454,20091020,0.19456153846153848
455,20091021,0
456,20091022,0.0
457,20091023,-0.08487142857142858
458,20091026,0.0386
459,20091027,0
460,20091028,0.16595
461,20091029,-0.4215
462,20091030,0.05666666666666667
463,20091102,0.0
464,20091103,-0.1517
465,20091104,0.0
466,20091105,0.0
467,20091106,0.156225
468,20091109,0.136825
469,20091110,0.5906083333333334
470,20091111,0.0
471,20091112,0.0
472,20091113,0.0
473,20091116,-0.032
474,20091117,-0.1611058823529412
475,20091118,0.2909
476,20091119,0.0
477,20091120,0.0
478,20091123,0.0
479,20091124,-0.2202
480,20091125,-0.04887999999999999
481,20091127,0.15769999999999998
482,20091130,-0.03423333333333333
483,20091201,0
484,20091202,0.0
485,20091203,0.07914999999999998
486,20091204,0.2633666666666667
487,20091207,0.5106
488,20091208,0.15125
489,20091209,-0.4404
490,20091210,0.15616
491,20091211,0.0768666666666667
492,20091214,0.1531
493,20091215,0.0
494,20091216,0
495,20091217,-0.7096
496,20091218,0.0
497,20091221,0.0
498,20091222,0.4019
499,20091223,0.4601333333333333
500,20091224,0.4767
501,20091228,0.0
502,20091229,0.32942499999999997
503,20091230,0.4404
504,20091231,0.4939
505,20100104,0.20943333333333333
506,20100105,0.25
507,20100106,0.0060166666666666676
508,20100107,0.2849833333333333
509,20100108,0.0
510,20100111,0.0
511,20100112,-0.3753
512,20100113,-0.4278
513,20100114,0.0
514,20100115,0.30948
515,20100119,0.19495
516,20100120,0.16463333333333333
517,20100121,0.2202
518,20100122,0.3597
519,20100125,0.3612
520,20100126,0
521,20100127,0.2023
522,20100128,0.0
523,20100129,-0.08879999999999999
524,20100201,-0.8224999999999999
525,20100202,0.125
526,20100203,0.57655
527,20100204,-0.3523
528,20100205,0.0
529,20100208,-0.1118333333333333
530,20100209,-0.6124
531,20100210,0.0
532,20100211,-0.1909
533,20100212,0.1202375
534,20100216,-0.148
535,20100217,0.0
536,20100218,0.006216666666666676
537,20100219,-0.4019
538,20100222,0.12105000000000002
539,20100223,0.4019
540,20100224,0.2850333333333333
541,20100225,-0.16703666666666667
542,20100226,0.4588
543,20100301,0.0
544,20100302,0.0
545,20100303,0.031233333333333325
546,20100304,0.0
547,20100305,0.12805
548,20100308,0.31143333333333334
549,20100309,0.4753
550,20100310,0.0
551,20100311,0.022899999999999997
552,20100312,0.0
553,20100315,0.1468
554,20100316,-0.056242857142857136
555,20100317,0.0
556,20100318,0.0086
557,20100319,0.019466666666666663
558,20100322,-0.3612
559,20100323,0.13986666666666667
560,20100324,-0.836
561,20100325,0.6369
562,20100326,-0.1531
563,20100329,0.0
564,20100330,0.0
565,20100331,0.24792608695652174
566,20100401,-0.1706
567,20100405,0.0
568,20100406,0.21808
569,20100407,-0.3595
570,20100408,0.0
571,20100409,0.30935999999999997
572,20100412,0
573,20100413,0
574,20100414,0.338
575,20100415,0.43035
576,20100416,-0.2862264705882353
577,20100419,0.0
578,20100420,-0.49695
579,20100421,0.0
580,20100422,0.0
581,20100423,0.7003
582,20100426,-0.1858
583,20100427,-0.041825
584,20100428,0.015959999999999995
585,20100429,0.12283999999999999
586,20100430,0.4215
587,20100503,0.12040000000000001
588,20100504,0.0
589,20100505,0.4404
590,20100506,-0.6166
591,20100507,0.0
592,20100510,0.6369
593,20100511,0.5423
594,20100512,0.0
595,20100513,0.0
596,20100514,0.1779
597,20100517,0.0
598,20100518,0.0
599,20100519,-0.16149999999999998
600,20100520,0.5319
601,20100521,-0.09150000000000001
602,20100524,0.5106
603,20100525,0.1123
604,20100526,0.03627999999999999
605,20100527,0.12222
606,20100528,0.4215
607,20100601,0.0258
608,20100602,0.7096
609,20100603,0.35285
610,20100604,-0.5994
611,20100607,-0.06846666666666666
612,20100608,-0.13358571428571428
613,20100609,0.36476
614,20100610,0.6908
615,20100611,-0.3034
616,20100614,0.0
617,20100615,0.3436
618,20100616,0.6216
619,20100617,0.20415
620,20100618,-0.5308333333333333
621,20100621,0.10115
622,20100622,-0.008077777777777776
623,20100623,0.3021
624,20100624,-0.148
625,20100625,0.2335375
626,20100628,0.0
627,20100629,0.12036666666666668
628,20100630,0
629,20100701,0.0
630,20100702,0.210575
631,20100706,-0.03546176470588235
632,20100707,0.29745
633,20100708,0.0027166666666666693
634,20100709,0.0
635,20100712,0.0
